team,current_elo
Argentina,2114.8673899680653
Spain,2081.93352954919
France,2080.902028923143
Brazil,2015.9589920198905
Mexico,1992.4392415426935
England,1985.7774933118426
Colombia,1984.8286407944638
Portugal,1984.7846760660595
Netherlands,1977.4525869368433
Morocco,1976.08977586307
Germany,1957.3956791625512
Norway,1936.4628224547198
Italy,1923.354373179763
Japan,1921.5232443524028
Croatia,1920.903087693197
Switzerland,1906.560040982187
Belgium,1901.7451403526009
Ecuador,1885.6963145558645
Turkey,1882.573739299736
Denmark,1882.2738586475618
Austria,1878.6994527602706
United States,1865.1560122196652
Algeria,1864.2921781462421
Paraguay,1851.5714122311172
Canada,1837.101458748248
Basque Country,1832.5153769339574
Australia,1831.5170990684453
Uruguay,1829.5096832267668
Iran,1824.37223151093
Senegal,1822.7970050287447
Russia,1812.4721838549613
Ivory Coast,1809.4200024041963
Egypt,1806.429114152093
Ukraine,1798.5804073789848
South Korea,1795.649336483586
Hungary,1794.757137124212
Nigeria,1789.345870627426
Sweden,1783.8497444829095
Poland,1779.6334245215153
Chile,1772.0925044236094
Scotland,1769.3351881592012
Venezuela,1767.966678898645
Greece,1763.7244102449492
Yugoslavia,1760.5017882460825
Serbia,1760.4838602961563
Jersey,1759.1316613198474
Czech Republic,1752.373194147648
Republic of Ireland,1752.2455557854887
Catalonia,1748.7729420427636
DR Congo,1744.9047125481268
Kosovo,1743.8272834020179
Slovenia,1737.0513375886596
German DR,1733.7743191531083
Czechoslovakia,1728.8057672095733
Slovakia,1715.4791478809698
Uzbekistan,1705.5408569069564
Peru,1701.4487523888147
Wales,1699.3163635154501
Georgia,1692.3321380138898
Guernsey,1687.0961827451804
Saudi Arabia,1683.4174420190031
Bosnia and Herzegovina,1679.7996455113139
Romania,1679.393589275692
Cameroon,1677.8433376404712
Ynys Môn,1676.7444913476643
Israel,1674.3878941356395
Panama,1674.1179060696945
Cape Verde,1673.6762693970786
South Africa,1672.7844795946921
Iraq,1668.5637252528877
Isle of Man,1663.4158493936795
Costa Rica,1663.1772183569358
Occitania,1661.984650164252
Andalusia,1661.1661826549741
Jordan,1660.175173999292
Northern Cyprus,1654.944683814331
Mali,1654.3549370643045
Northern Ireland,1650.1092551288048
Bolivia,1649.4748575934955
Tunisia,1648.1799187230629
United Arab Emirates,1645.1761066446102
Isle of Wight,1640.1867798567957
Albania,1635.3748599013825
Honduras,1633.8711738961413
Padania,1630.0417656770471
Ghana,1629.8622266393295
Kernow,1626.8747511470451
North Macedonia,1622.6153302679916
Burkina Faso,1622.5363322127132
New Zealand,1619.706672162466
Iceland,1615.412924997524
Iraqi Kurdistan,1614.903091269958
Abkhazia,1609.8687842602244
Jamaica,1609.6458631378655
Belarus,1600.128358513859
Corsica,1596.8923663966598
County of Nice,1591.0752642879747
Rhodes,1589.445592207323
Kárpátalja,1588.368161822477
Guatemala,1584.2477719784094
Haiti,1582.8998285153464
Finland,1581.1648007513427
Oman,1575.7964354634626
Montenegro,1571.8441286104878
Yorkshire,1571.5819995317538
Galicia,1568.33806338608
Angola,1566.7529601701447
Tamil Eelam,1565.3573227296088
Ellan Vannin,1563.0075735305215
Artsakh,1562.1071389567117
Kurdistan,1560.7776927370496
China,1551.3326285678042
Qatar,1549.4625440516165
Arameans Suryoye,1546.9464529881832
Réunion,1545.0068873228272
Suriname,1544.9528892481153
Bulgaria,1541.8606719747872
Thailand,1540.210997928208
Zanzibar,1540.1678050429375
Libya,1538.536888856623
Maule Sur,1537.6422288220485
Malaysia,1537.3261156882227
Cascadia,1537.1886052729712
Curaçao,1536.1367080865832
Panjab,1536.0545265640803
Syria,1535.0796850953218
Brittany,1533.3080070934975
Canary Islands,1531.3884078510616
Vietnam,1528.9822552392045
Palestine,1528.6296565981152
New Caledonia,1526.9581028815364
Elba Island,1526.3223353106944
Biafra,1522.2322509062292
Asturias,1522.2271099494849
Menorca,1521.7188576133776
Indonesia,1521.2745874281588
Silesia,1520.7426427322334
Chameria,1520.3184995944719
Surrey,1517.4995009575468
Parishes of Jersey,1517.4262192616827
Gabon,1515.2621087088394
Donetsk PR,1513.5917748596366
Guinea,1511.9742898260185
Zambia,1511.049614126268
Felvidék,1509.5510431955406
Quebec,1509.244399855284
Crimea,1508.2450857299557
Benin,1506.6494318891757
Luxembourg,1505.9290281160365
Bahrain,1505.9025412432488
Kazakhstan,1504.9204170844766
Franconia,1502.352700507338
Central Spain,1502.1004082105499
Gambia,1501.9245651502893
Mapuche,1501.1500225556908
Togo,1499.9879832038253
Matabeleland,1498.9011835569586
Kuwait,1497.3274971888322
Saugeais,1496.8135097760905
Madagascar,1496.0297786657845
Sealand,1495.169323094304
Trinidad and Tobago,1494.8857387966502
Uganda,1494.8423320921147
Délvidék,1494.2176990653793
United Koreans in Japan,1493.7783120813804
Tahiti,1492.3458334356185
Guadeloupe,1490.4273386793568
Madrid,1488.1001233169882
Western Armenia,1483.476270572283
Estonia,1483.1191733598796
Luhansk PR,1482.2861248310917
South Ossetia,1481.6323456930181
Cilento,1481.6106673313232
Comoros,1481.5435880406833
Ryūkyū,1479.5237688724742
Shetland,1479.1686595624055
Yoruba Nation,1478.8489677817934
Somaliland,1478.5284862633823
Seborga,1478.4864012493817
North Korea,1478.4680190105164
Gozo,1476.4871459114274
Székely Land,1475.3608296939765
Åland Islands,1474.6548491497165
Republic of St. Pauli,1473.751578549748
Rwanda,1473.1102393091835
West Papua,1472.4999901112033
East Turkestan,1471.4801485188418
Hmong,1470.6106940944794
Mauritania,1470.068104400311
El Salvador,1469.9895537804086
Kenya,1469.8347123517726
Niue,1469.7635390879464
South Yemen,1467.7703594067386
Faroe Islands,1467.547496004466
Nicaragua,1465.444639368714
Mozambique,1465.3710691841675
Kabylia,1464.5467726401766
Chechnya,1462.4837005033
North Vietnam,1461.6504888916713
Aymara,1461.2077486222606
Romani people,1459.7212613035001
Papua New Guinea,1459.1711225151703
Armenia,1458.7644933611114
Kyrgyzstan,1458.2471149354326
Sudan,1456.2986946838505
Guyana,1455.196911625661
Dominican Republic,1455.1891807735126
Monaco,1454.1910097786379
Sápmi,1453.7077368372618
Zimbabwe,1451.9725886365438
Malta,1448.4236606298452
Cyprus,1448.159799910584
Ticino,1446.6475234010668
Greenland,1445.6913425255996
Saarland,1445.1417602076635
Niger,1444.0036833976512
Palau,1443.2052903158783
Provence,1442.739369569109
Manchukuo,1442.4742303485305
Găgăuzia,1442.1685086826535
Western Isles,1442.1375591106994
Western Sahara,1439.3511883661497
Vanuatu,1438.7208424853754
Azerbaijan,1436.0096812018398
Equatorial Guinea,1434.8160217129962
Tajikistan,1432.3878959390806
Two Sicilies,1430.2949837284418
Martinique,1428.4917172739156
Sierra Leone,1428.3540162007898
Marshall Islands,1426.9665061575904
Orkney,1424.9280238921754
Botswana,1424.616694979777
Mayotte,1424.071578849479
Sark,1423.2947051417557
Lebanon,1421.970898711276
Gotland,1416.6916421951494
Barawa,1416.2647736467168
Ethiopia,1411.0048865375643
Ambazonia,1407.7735459432943
Malawi,1403.944642782839
Raetia,1403.883214262377
Vietnam Republic,1401.6882275677392
Liberia,1398.5688449205707
Vatican City,1394.2625397166516
Namibia,1393.3919434503691
Western Australia,1393.2934136833026
Burundi,1392.7301001072153
Fiji,1391.439203670958
Lesotho,1390.2296548736251
Yemen DPR,1389.9962171210764
Micronesia,1389.8415748571592
Turkmenistan,1388.7050613465894
Saint Barthélemy,1387.6920798669137
Cuba,1386.4030419743142
Moldova,1385.0530190441636
Tanzania,1384.1930246960328
French Guiana,1382.6519965174455
Latvia,1380.9876183994165
Darfur,1380.3168328813422
Lithuania,1379.8139670954392
Saint Vincent and the Grenadines,1375.3482189748677
Philippines,1374.1050880677578
Bermuda,1371.109870344777
Saint Pierre and Miquelon,1368.1697254568203
Hitra,1366.1879875734585
Saint Helena,1365.8243799455392
Central African Republic,1364.6580098056588
Puerto Rico,1364.4411994902703
Chagos Islands,1362.6324514714481
Guinea-Bissau,1359.7194648431023
Saare County,1351.6316070617775
Solomon Islands,1346.1254330997526
Singapore,1341.574997416038
Congo,1337.2398256344336
Kiribati,1331.2365847720441
Hong Kong,1328.5701229669348
Wallis Islands and Futuna,1320.8971247420034
Eswatini,1319.105665910925
Sint Maarten,1316.8562532287656
Saint Kitts and Nevis,1309.630999676036
Grenada,1307.6303763934197
Belize,1306.7484462977948
Yemen,1305.4818483167494
South Sudan,1291.78105487238
Samoa,1285.5351556811404
Tibet,1280.657098184593
Saint Martin,1274.3066698730906
India,1271.571839099222
Montserrat,1269.8577584868597
Tuvalu,1269.3529304303268
Saint Lucia,1268.90253617123
Chad,1266.828792536422
Falkland Islands,1259.501574544208
Gibraltar,1252.8447362503778
Mauritius,1242.874677675418
Frøya,1232.8579162128412
Aruba,1221.542162531362
Andorra,1220.1352465919194
Eritrea,1217.9739909956497
Cook Islands,1209.9525602471767
Bangladesh,1207.7782025674899
