team,current_elo
Myanmar,1205.0285545690426
São Tomé and Príncipe,1195.595535995302
Dominica,1193.1121034605392
Bonaire,1182.8491117819588
Antigua and Barbuda,1179.2683452742174
Nepal,1170.1648026161388
Afghanistan,1166.2804767696534
Barbados,1163.488269451494
Taiwan,1156.4422700744879
Cambodia,1154.8143577219762
Turks and Caicos Islands,1143.4469320126523
Tonga,1139.0194900785316
Pakistan,1134.6276402053556
Alderney,1130.5503972451452
Cayman Islands,1127.5198898304159
Djibouti,1116.2773109948794
British Virgin Islands,1109.9774105623248
Somalia,1106.9872321517867
Sri Lanka,1097.8523538026527
Liechtenstein,1095.7771707249717
Northern Mariana Islands,1074.7643455924535
United States Virgin Islands,1072.3996272348115
Maldives,1056.2576970122743
Seychelles,1051.8520449620755
American Samoa,1050.1602905594484
Mongolia,1047.6931131353297
Bahamas,1040.9163351227562
Laos,1037.7511965350975
Guam,1037.6786507791812
San Marino,1012.2721464996516
Anguilla,1006.7918974305136
Brunei,1001.7761530194615
Timor-Leste,955.5997531958695
Bhutan,929.0970644874093
Macau,927.4764349563486
